Gene	RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8
ENSMUSG00000094989	0.137862619	0.099678394	0.225725287	0.156581017	0.384282344
ENSMUSG00000095041	23.82364963	13.30055323	14.26171939	14.31734987	18.08757084
ENSMUSG00000095079	0.086550523	0.385423122	0.860748598	0.372470854	0.555236846
ENSMUSG00000095098	4.933379802	4.54533475	3.877390881	3.968247179	4.500340755
ENSMUSG00000095105	0.346202091	0.345551765	0.072399415	0.186235427	0.350675903
ENSMUSG00000095115	15.8634744	17.30416914	13.61108998	13.39462495	15.10828682
ENSMUSG00000095123	0.408023893	0.465165837	0.394174592	0.515728875	1.052027709
ENSMUSG00000095134	0	0	0.089453499	0.07091272	0
ENSMUSG00000095159	0.013353509	0.028441568	0.034590832	0.046415599	0.031560831
ENSMUSG00000095180	0.964420112	1.435368868	1.39167764	1.418254407	1.256588652
ENSMUSG00000095186	0.287718667	0.154036344	0	0	0
ENSMUSG00000095193	0.173101046	0.15948543	0.313730797	0.444099865	0.496790863
ENSMUSG00000095199	2.477323251	1.426995883	1.955266862	1.957047823	2.220947385
ENSMUSG00000095217	0.42298477	0.226735119	0.162496464	0.251131311	0.675927803
ENSMUSG00000095253	10.806451	10.57920018	10.89208974	12.17693178	10.08193221
ENSMUSG00000095294	0.047231857	0	0.052288466	0	0
ENSMUSG00000095295	0.053908611	0.133436143	0.048024945	0	0.233783935
ENSMUSG00000095304	6.973499269	5.435795067	4.689873202	5.801949846	4.646455714
ENSMUSG00000095315	1.026241914	1.036655294	1.39167764	1.131738365	1.22736566
ENSMUSG00000095325	7.987376823	7.37620113	8.132867594	6.632846368	7.890207817
ENSMUSG00000095362	9.406929041	10.39858293	9.594370447	10.41256599	14.22955145
ENSMUSG00000095366	0.682512694	0.741075631	0.862840137	0.413585906	1.560799998
ENSMUSG00000095385	0.30910901	0.199356787	0.13675445	0.114606417	0.175337951
ENSMUSG00000095403	0.142808363	0.394859343	0.406723823	0.379203981	0.479549297
ENSMUSG00000095407	0.049457442	0.013290452	0.032177518	0.014325802	0
ENSMUSG00000095432	5.242488813	5.302890542	5.767820044	5.400827388	7.188856011
ENSMUSG00000095438	6.936406188	4.86430561	6.451592295	4.584256669	4.763347682
ENSMUSG00000095440	0.60585366	0.664522624	0.732038527	0.530054677	0.905912749
ENSMUSG00000095457	0	0.122936685	0	0.393386525	0.376099906
ENSMUSG00000095463	38.7782199	35.15696815	34.13173877	34.86355848	46.92160474
ENSMUSG00000095464	0.144663017	0.046250775	0.04303743	0	0.093805804
ENSMUSG00000095478	0.319247786	0.1497834	0.267716947	0.450546476	0.412920876
ENSMUSG00000095526	6.907102654	5.995057307	29.15693365	37.13964192	8.178930977
ENSMUSG00000095547	0.164693281	0.332128408	0	0	0
ENSMUSG00000095567	12.67346942	13.3701952	11.80914899	11.6468771	15.34207075
ENSMUSG00000095571	0	0.039871357	0	0.114606417	0
ENSMUSG00000095588	0.136007964	0.10220358	0.134904243	0.088103683	0.120690957
ENSMUSG00000095595	9.057141285	3.865395201	3.458680932	11.70375053	16.36809
ENSMUSG00000095597	34.31406758	33.22480217	37.37692188	41.07651559	35.68448766
ENSMUSG00000095609	0.481468194	0.402036188	0.701228554	1.126581076	0.061660513
ENSMUSG00000095616	0.776852764	0.366417775	0.097819654	0.005157289	0.00029223
ENSMUSG00000095648	1.022903536	0.245075944	0.356205121	0.936191167	0.485686126
ENSMUSG00000095649	0.056134196	0	0.143431285	0	0
ENSMUSG00000095677	15.4179865	10.50025489	12.51045799	12.17893739	12.59569397
ENSMUSG00000095681	0.081481135	0.112968846	0.151716996	0.055154338	0.263006927
ENSMUSG00000095687	26.95752042	21.79873436	27.96974414	27.51370572	33.39077502
ENSMUSG00000095690	0.143673868	0.156162817	0.094923677	0.110881708	0.263591387
ENSMUSG00000095742	0.494574416	0.146194977	0.297642039	0.186235427	0.263006927
ENSMUSG00000095788	0.049457442	0.079742715	0.048266277	0.157583823	0
ENSMUSG00000095789	0.494574416	0.21264724	0.579195318	0.544380479	1.285811644
ENSMUSG00000095930	4.785007477	3.694745791	3.901524019	3.610102127	4.967908625
ENSMUSG00000095990	8.172842229	9.812075261	9.583671422	8.529009532	10.15089847
ENSMUSG00000096006	3.197918176	2.856118239	3.090489686	2.077241303	2.911486684
ENSMUSG00000096010	50.38476866	28.69408692	36.26406243	57.28888256	54.79310984
ENSMUSG00000096039	0.201786362	0.10632362	0.119298147	0.186235427	0
ENSMUSG00000096052	0	0.066452262	0.032177518	0.085954813	0
ENSMUSG00000096054	196.3831363	169.1342983	197.7952012	167.4399748	240.6805614
ENSMUSG00000096056	0.662729718	0.798756194	0.674521214	0.76728996	0.417888784
ENSMUSG00000096108	0	0.039871357	0.032177518	0.014325802	0.175337951
ENSMUSG00000096145	5.996714797	6.472450361	5.534533041	6.160094899	3.857434933
ENSMUSG00000096146	51.64593342	52.65677275	52.47348696	48.52149168	58.27064588
ENSMUSG00000096169	0.098914883	0	0.048266277	0.014325802	0
ENSMUSG00000096188	22.99771036	19.44393199	20.77058766	18.80977814	27.1189365
ENSMUSG00000096199	5.31754048	4.545866368	4.811906438	4.914466407	4.529563747
ENSMUSG00000096210	54.88539585	39.20683483	52.65850769	48.40688526	51.43246577
