ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001674,0.0017118614757003492,0.9918230951692062,1.0,Not Significant
ENSMUSG00000001687,-0.22422722484705293,0.4868971830374206,1.0,Not Significant
ENSMUSG00000001700,-0.11555566288807828,0.7719012749778291,1.0,Not Significant
ENSMUSG00000001707,-0.22149947311437934,0.4835730648323422,1.0,Not Significant
ENSMUSG00000001729,0.10133215269990448,0.8137325082476583,1.0,Not Significant
ENSMUSG00000001739,0.44228492577403467,0.6760266454732484,1.0,Not Significant
ENSMUSG00000001741,0.07272269285560462,0.6746361971769317,1.0,Not Significant
ENSMUSG00000001750,0.144535812589889,0.7276800564792727,1.0,Not Significant
ENSMUSG00000001751,0.3185728246994799,0.20371493297379928,1.0,Not Significant
ENSMUSG00000001755,0.10585348736134037,0.37781180482203114,1.0,Not Significant
ENSMUSG00000001761,0.4422750981795076,0.6016359592747322,1.0,Not Significant
ENSMUSG00000001763,0.15800010520283436,0.715017201762739,1.0,Not Significant
ENSMUSG00000001767,-0.18363140200695582,0.5110169067387678,1.0,Not Significant
ENSMUSG00000001768,0.19298614644298517,0.3550965142641681,1.0,Not Significant
ENSMUSG00000001773,0.24358704084183933,0.42264973081037427,1.0,Not Significant
ENSMUSG00000001774,-0.5055577257485524,0.044315263374599616,1.0,Not Significant
ENSMUSG00000001783,0.12973487683748353,0.4230562646702367,1.0,Not Significant
ENSMUSG00000001785,0.07156075106904769,0.6538831544280591,1.0,Not Significant
ENSMUSG00000001786,0.1261823057506941,0.20787231056149813,1.0,Not Significant
ENSMUSG00000001794,0.40481570348911866,0.14277875589839312,1.0,Not Significant
ENSMUSG00000001802,-0.03302202389890141,0.6747413031700971,1.0,Not Significant
ENSMUSG00000001827,-0.028782033989097344,0.680424519285004,1.0,Not Significant
ENSMUSG00000001829,-0.012379963900746915,0.9126125365182047,1.0,Not Significant
ENSMUSG00000001833,-0.27896139035636125,0.48938348521128827,1.0,Not Significant
ENSMUSG00000001844,0.1615428511128334,0.18520897791319973,1.0,Not Significant
