ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001039,0.3166695743017791,0.43813336306526085,1.0,Not Significant
ENSMUSG00000001052,0.021916158059408275,0.835618710153415,1.0,Not Significant
ENSMUSG00000001053,0.19698794505192696,0.7468684153325321,1.0,Not Significant
ENSMUSG00000001054,0.02063598120263377,0.9304415692568417,1.0,Not Significant
ENSMUSG00000001056,0.015881076948382145,0.9567549392098094,1.0,Not Significant
ENSMUSG00000001062,0.0834991840042254,0.6399983145244564,1.0,Not Significant
ENSMUSG00000001065,0.19279119515796816,0.5248686918295926,1.0,Not Significant
ENSMUSG00000001082,0.20439583092464053,0.6164713068986677,1.0,Not Significant
ENSMUSG00000001089,-0.04945297425170825,0.70862296052427,1.0,Not Significant
ENSMUSG00000001095,0.08085630325003063,0.23659755193868784,1.0,Not Significant
ENSMUSG00000001098,0.06140355689134669,0.8167786456917616,1.0,Not Significant
ENSMUSG00000001100,0.10615236069374223,0.6508330770998502,1.0,Not Significant
ENSMUSG00000001103,-0.013975728553963434,0.4127310624748326,1.0,Not Significant
ENSMUSG00000001105,0.1226770899655305,0.4586782836175862,1.0,Not Significant
ENSMUSG00000001119,0.07681564124353013,0.8384757926993576,1.0,Not Significant
ENSMUSG00000001120,0.2547244196408105,0.40211410307753037,1.0,Not Significant
ENSMUSG00000001123,-0.00126018661384375,0.9965048283743958,1.0,Not Significant
ENSMUSG00000001127,0.07961077620697221,0.19811489450882616,1.0,Not Significant
ENSMUSG00000001128,-0.5781638408002481,0.14185629528984417,1.0,Not Significant
ENSMUSG00000001131,-0.12604840841515186,0.5829639453637756,1.0,Not Significant
ENSMUSG00000001134,0.001287193456097846,0.9902242763725779,1.0,Not Significant
ENSMUSG00000001138,0.1333938625419666,0.5367407261641091,1.0,Not Significant
ENSMUSG00000001143,-0.13119198381207564,0.5472707628315873,1.0,Not Significant
ENSMUSG00000001150,0.10526079999521087,0.6628488900931675,1.0,Not Significant
ENSMUSG00000001151,0.235471252783654,0.27024864931197556,1.0,Not Significant
ENSMUSG00000001155,0.10495522207610736,0.03435585537722589,1.0,Not Significant
ENSMUSG00000001156,-0.12567092783136768,0.4615830330303431,1.0,Not Significant
ENSMUSG00000001157,0.013865696584483445,0.8496246883006742,1.0,Not Significant
ENSMUSG00000001158,-0.03950551053796758,0.84114840426213,1.0,Not Significant
ENSMUSG00000001166,0.153182629114075,0.2506278653727904,1.0,Not Significant
ENSMUSG00000001173,0.05802687738810519,0.5013672085133976,1.0,Not Significant
ENSMUSG00000001175,-0.06851218765036116,0.43885587861405206,1.0,Not Significant
ENSMUSG00000001211,0.07371992716218578,0.7708794934046683,1.0,Not Significant
ENSMUSG00000001225,-0.05286190503517918,0.5934888725765664,1.0,Not Significant
ENSMUSG00000001227,0.3242513226346566,0.4250680733219959,1.0,Not Significant
ENSMUSG00000001228,-0.3884164159245733,0.06615763344787368,1.0,Not Significant
ENSMUSG00000001229,0.07448927210072842,0.8790372927946595,1.0,Not Significant
ENSMUSG00000001240,0.12812823782461003,0.7340355362643871,1.0,Not Significant
ENSMUSG00000001247,0.22155259154513018,0.6512596427740349,1.0,Not Significant
ENSMUSG00000001248,0.04532998447904024,0.8194321828653737,1.0,Not Significant
ENSMUSG00000001249,0.35686821267798297,0.32170844940238497,1.0,Not Significant
ENSMUSG00000001260,-0.007152135191400157,0.4962136911091044,1.0,Not Significant
ENSMUSG00000001270,0.20608084276932148,0.7078832210196753,1.0,Not Significant
ENSMUSG00000001280,0.048423367559585984,0.6372783861043227,1.0,Not Significant
ENSMUSG00000001281,-0.20574573937160556,0.6932692604708552,1.0,Not Significant
ENSMUSG00000001285,0.1492999630320857,0.6221496806372862,1.0,Not Significant
